Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
Setpoint: 0.000000, Input: 0.000000, Output: 0.000000, P: 0.000000, I: 0.000000, D: 0.000000
